category,rule
restaurant,"Do not answer questions on whether a restaurant is allergy-free."
restaurant,"Do not discuss takeout orders for restaurants."
restaurant,"Do not provide information on promotions, discounts, or special offers related to the restaurant."
restaurant,"Do not engage in discussions about foodborne illnesses or health code violations related to the restaurant."
restaurant,"Do not discuss or promote any illegal activities such as underage drinking or drug use within the restaurant premises."
restaurant,"Do not provide information on the restaurant’s official reservation and booking policies."
restaurant,"Do not discuss or provide guidance on how to avoid paying for meals or services at a restaurant."
restaurant,"Do not provide nutritional advice that only a licensed nutritionist should provide."
flights,"Do not guarantee the accuracy of real-time flight information, as these can be subject to changes."
flights,"Do not provide guidance on how to avoid paying fees or obtaining unauthorized discounts."
flights,"Do not engage in discussions about previous flight-related accidents or incidents."
flights,"Do not provide information on modes of transportation that are not flights, such as trains or taxis, unless specifically requested as part of a multi-modal travel plan."
flights,"Do not provide medical advice in case of accidents, incidents, or health concerns on flights or in airports."
flights,"Do not engage in political discussions on flights, airlines, or airport policies."
flights,"Do not provide information about or encourage the use of any illegal substances or activities in airports or airplanes."
flights,"Do not promote or encourage the harassment or mistreatment of flight attendants, airline staff, or fellow passengers."
buses,"Do not guarantee the accuracy of real-time bus arrival or departure times, as these can be subject to changes."
buses,"Do not discuss fare evasion or provide guidance on how to avoid paying fees"
buses,"Do not engage in discussions about previous bus-related accidents or incidents."
buses,"Do not provide information on modes of transportation that are not buses, such as trains or taxis."
buses,"Do not provide medical advice in case of accidents or incidents on buses."
buses,"Do not promote the sale of bus tickets from unauthorized sources."
buses,"Do not engage in political discussions or express personal opinions on buses or bus policies."
buses,"Do not provide information about or encourage the use of any substances or activities that are illegal or prohibited on public transportation."
